taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T683r        1        40        60        80        30        red        86
T962r        1        20        90        60        20        red        65
T189b        1        40        10        80        90        blue        47
T387b        1        50        30        80        70        blue        31
T387r        1        70        30        80        70        red        18
T457b        1        70        40        50        70        blue        19
T962b        1        35        90        60        20        blue        16
T416r        1        65        40        10        60        red        15
T372b        1        45        30        70        20        blue        26
T372r        1        80        30        70        20        red        27
T728b        1        65        70        20        80        blue        37
T719b        1        45        70        10        90        blue        63
T478b        1        39        40        70        80        blue        16
T156b        1        85        10        50        60        blue        12
T684r        1        64        60        80        40        red        16
T478r        1        17        40        70        80        red        12
T156r        1        50        10        50        60        red        13
T457r        1        80        40        50        70        red        10
T856r        1        36        80        50        60        red        17
T421r        1        65        40        20        10        red        22
T491b        1        55        40        90        10        blue        20
T489b        1        86        40        80        90        blue        12
T421b        1        53        40        20        10        blue        39
T589r        1        25        50        80        90        red        21
T491r        1        75        40        90        10        red        67
T684b        1        56        60        80        40        blue        38
T517r        1        86        50        10        70        red        19
T517b        1        55        50        10        70        blue        12
T865b        1        18        80        60        50        blue        12
T489r        1        80        40        80        90        red        14
T267b        1        72        20        60        70        blue        13
T689b        1        67        60        80        90        blue        17
T792b        1        47        70        90        20        blue        12
T856b        1        86        80        50        60        blue        10
T453r        1        49        40        50        30        red        12
T453b        1        90        40        50        30        blue        11
T547b        1        43        50        40        70        blue        11
T689r        1        67        60        80        90        red        10
T153r        1        29        10        50        30        red        10
T732r        1        65        70        30        20        red        12
T728r        1        27        70        20        80        red        17
T138b        1        87        10        30        80        blue        14
T732b        1        54        70        30        20        blue        9
T547r        1        39        50        40        70        red        11
T138r        1        76        10        30        80        red        11
T189r        1        88        10        80        90        red        10
T461b        1        34        40        60        10        blue        17
T267r        1        42        20        60        70        red        26
T153b        1        57        10        50        30        blue        18
T865r        1        78        80        60        50        red        9
T461r        1        65        40        60        10        red        11
T719r        1        49        70        10        90        red        12
T683b        1        86        60        80        30        blue        11
T792r        1        22        70        90        20        red        9
T629b        1        14        60        20        90        blue        9
T589b        1        60        50        80        90        blue        9
T645r        1        43        60        40        50        red        9
T629r        1        72        60        20        90        red        10
T645b        1        84        60        40        50        blue        10
T416b        1        50        40        10        60        blue        10
T439r        2        40        40        30        90        red        35
T728r        2        30        70        20        80        red        15
T147b        2        10        10        40        70        blue        17
T453r        2        30        40        50        30        red        50
T968b        2        40        90        60        80        blue        31
T439b        2        40        40        30        90        blue        24
T584r        2        50        50        80        40        red        6
T627r        2        60        60        20        70        red        6
T158r        2        10        10        50        80        red        12
T983r        2        90        90        80        30        red        8
T865b        2        80        80        60        50        blue        8
T187b        2        10        10        80        70        blue        22
T891r        2        80        80        90        10        red        7
T982r        2        90        90        80        20        red        4
